size_bytes,time_us,algbw_GBs,busbw_GBs
0,0.42,0.00,0.00
0,0.44,0.00,0.00
0,0.46,0.00,0.00
64,16.98,0.00,0.00
128,16.94,0.01,0.01
256,16.80,0.02,0.01
512,16.82,0.03,0.02
1024,16.85,0.06,0.05
2048,16.84,0.12,0.09
4096,16.85,0.24,0.18
8192,17.22,0.48,0.36
16384,17.78,0.92,0.69
32768,18.90,1.73,1.30
65536,19.87,3.30,2.47
131072,21.18,6.19,4.64
262144,22.53,11.64,8.73
524288,21.32,24.59,18.44
1048576,22.47,46.66,35.00
2097152,22.58,92.87,69.65
4194304,38.79,108.12,81.09
8388608,57.08,146.97,110.23
16777216,67.42,248.85,186.64
33554432,109.73,305.78,229.34
67108864,194.96,344.22,258.16
134217728,350.27,383.19,287.39
268435456,658.98,407.35,305.51
536870912,1268.09,423.37,317.53
1073741824,2475.82,433.69,325.27
2147483648,4819.87,445.55,334.16
4294967296,9479.24,453.09,339.82
8589934592,18732.3,458.56,343.92
