size_bytes,time_us,algbw_GBs,busbw_GBs
8,22.72,0.00,0.00
16,24.11,0.00,0.00
32,23.46,0.00,0.00
64,23.85,0.00,0.00
128,23.57,0.01,0.01
256,23.19,0.01,0.02
512,23.53,0.02,0.03
1024,23.67,0.04,0.06
2048,23.39,0.09,0.13
4096,23.39,0.18,0.26
8192,24.73,0.33,0.50
16384,23.96,0.68,1.03
32768,25.54,1.28,1.92
65536,26.20,2.50,3.75
131072,27.49,4.77,7.15
262144,27.69,9.47,14.20
524288,28.66,18.29,27.44
1048576,27.03,38.79,58.18
2097152,31.27,67.06,100.59
4194304,43.41,96.63,144.94
8388608,62.88,133.41,200.12
16777216,102.10,164.32,246.47
33554432,176.20,190.44,285.66
67108864,325.86,205.95,308.92
134217728,617.77,217.26,325.89
268435456,1181.43,227.21,340.82
536870912,2311.72,232.24,348.36
1073741824,4511.11,238.02,357.03
2147483648,8923.11,240.67,361.00
4294967296,17735.5,242.17,363.25
8589934592,35168.9,244.25,366.37
