# nccl-tests version 2.18.3 nccl-headers=22902 nccl-library=22902
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 4 minBytes 8 maxBytes 8589934592 step: 2(factor) warmup iters: 5 iters: 50 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid   1275 on 8899f5769284 device  0 [0000:41:00] NVIDIA H100 80GB HBM3
#  Rank  1 Group  0 Pid   1275 on 8899f5769284 device  1 [0000:44:00] NVIDIA H100 80GB HBM3
#  Rank  2 Group  0 Pid   1275 on 8899f5769284 device  2 [0000:86:00] NVIDIA H100 80GB HBM3
#  Rank  3 Group  0 Pid   1275 on 8899f5769284 device  3 [0000:87:00] NVIDIA H100 80GB HBM3
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           8             2     float     sum      -1    22.72    0.00    0.00       0    22.97    0.00    0.00       0
          16             4     float     sum      -1    24.11    0.00    0.00       0    23.23    0.00    0.00       0
          32             8     float     sum      -1    23.46    0.00    0.00       0    22.84    0.00    0.00       0
          64            16     float     sum      -1    23.85    0.00    0.00       0    23.27    0.00    0.00       0
         128            32     float     sum      -1    23.57    0.01    0.01       0    23.47    0.01    0.01       0
         256            64     float     sum      -1    23.19    0.01    0.02       0    23.51    0.01    0.02       0
         512           128     float     sum      -1    23.53    0.02    0.03       0    23.49    0.02    0.03       0
        1024           256     float     sum      -1    23.67    0.04    0.06       0    22.84    0.04    0.07       0
        2048           512     float     sum      -1    23.39    0.09    0.13       0    22.97    0.09    0.13       0
        4096          1024     float     sum      -1    23.39    0.18    0.26       0    22.66    0.18    0.27       0
        8192          2048     float     sum      -1    24.73    0.33    0.50       0    23.76    0.34    0.52       0
       16384          4096     float     sum      -1    23.96    0.68    1.03       0    24.53    0.67    1.00       0
       32768          8192     float     sum      -1    25.54    1.28    1.92       0    24.84    1.32    1.98       0
       65536         16384     float     sum      -1    26.20    2.50    3.75       0    25.66    2.55    3.83       0
      131072         32768     float     sum      -1    27.49    4.77    7.15       0    26.86    4.88    7.32       0
      262144         65536     float     sum      -1    27.69    9.47   14.20       0    27.58    9.51   14.26       0
      524288        131072     float     sum      -1    28.66   18.29   27.44       0    28.06   18.69   28.03       0
     1048576        262144     float     sum      -1    27.03   38.79   58.18       0    29.62   35.40   53.10       0
     2097152        524288     float     sum      -1    31.27   67.06  100.59       0    30.21   69.42  104.12       0
     4194304       1048576     float     sum      -1    43.41   96.63  144.94       0    42.79   98.01  147.02       0
     8388608       2097152     float     sum      -1    62.88  133.41  200.12       0    61.90  135.53  203.29       0
    16777216       4194304     float     sum      -1   102.10  164.32  246.47       0    99.19  169.14  253.70       0
    33554432       8388608     float     sum      -1   176.20  190.44  285.66       0   172.74  194.25  291.38       0
    67108864      16777216     float     sum      -1   325.86  205.95  308.92       0   329.58  203.62  305.43       0
   134217728      33554432     float     sum      -1   617.77  217.26  325.89       0   617.57  217.33  326.00       0
   268435456      67108864     float     sum      -1  1181.43  227.21  340.82       0  1185.53  226.43  339.64       0
   536870912     134217728     float     sum      -1  2311.72  232.24  348.36       0  2312.82  232.13  348.19       0
  1073741824     268435456     float     sum      -1  4511.11  238.02  357.03       0  4534.04  236.82  355.23       0
  2147483648     536870912     float     sum      -1  8923.11  240.67  361.00       0  8968.30  239.45  359.18       0
  4294967296    1073741824     float     sum      -1  17735.5  242.17  363.25       0  17705.8  242.57  363.86       0
  8589934592    2147483648     float     sum      -1  35168.9  244.25  366.37       0  35182.8  244.15  366.23       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 124.806 
#
# Collective test concluded: all_reduce_perf
#

