# nccl-tests version 2.18.3 nccl-headers=22902 nccl-library=22902
# Collective test starting: all_gather_perf
# nThread 1 nGpus 4 minBytes 8 maxBytes 8589934592 step: 2(factor) warmup iters: 5 iters: 50 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid    171 on e49901c75833 device  0 [0000:41:00] NVIDIA H100 80GB HBM3
#  Rank  1 Group  0 Pid    171 on e49901c75833 device  1 [0000:44:00] NVIDIA H100 80GB HBM3
#  Rank  2 Group  0 Pid    171 on e49901c75833 device  2 [0000:86:00] NVIDIA H100 80GB HBM3
#  Rank  3 Group  0 Pid    171 on e49901c75833 device  3 [0000:87:00] NVIDIA H100 80GB HBM3
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           0             0     float    none      -1     0.54    0.00    0.00       0     0.58    0.00    0.00       0
           0             0     float    none      -1     0.56    0.00    0.00       0     0.56    0.00    0.00       0
           0             0     float    none      -1     0.56    0.00    0.00       0     0.58    0.00    0.00       0
          64             4     float    none      -1    22.54    0.00    0.00       0    22.22    0.00    0.00       0
         128             8     float    none      -1    22.46    0.01    0.00       0    22.18    0.01    0.00       0
         256            16     float    none      -1    22.30    0.01    0.01       0    22.10    0.01    0.01       0
         512            32     float    none      -1    22.18    0.02    0.02       0    22.27    0.02    0.02       0
        1024            64     float    none      -1    22.11    0.05    0.03       0    22.10    0.05    0.03       0
        2048           128     float    none      -1    22.14    0.09    0.07       0    22.15    0.09    0.07       0
        4096           256     float    none      -1    22.17    0.18    0.14       0    22.26    0.18    0.14       0
        8192           512     float    none      -1    59.46    0.14    0.10       0    22.78    0.36    0.27       0
       16384          1024     float    none      -1    24.64    0.67    0.50       0    22.68    0.72    0.54       0
       32768          2048     float    none      -1    23.63    1.39    1.04       0    23.78    1.38    1.03       0
       65536          4096     float    none      -1    25.05    2.62    1.96       0    24.94    2.63    1.97       0
      131072          8192     float    none      -1    26.28    4.99    3.74       0    26.16    5.01    3.76       0
      262144         16384     float    none      -1    27.05    9.69    7.27       0    27.14    9.66    7.25       0
      524288         32768     float    none      -1    28.24   18.56   13.92       0    28.28   18.54   13.90       0
     1048576         65536     float    none      -1    27.87   37.63   28.22       0    27.85   37.65   28.24       0
     2097152        131072     float    none      -1    27.76   75.55   56.66       0    20.95  100.13   75.09       0
     4194304        262144     float    none      -1    38.62  108.61   81.46       0    38.19  109.83   82.38       0
     8388608        524288     float    none      -1    47.30  177.36  133.02       0    45.83  183.06  137.29       0
    16777216       1048576     float    none      -1    67.25  249.49  187.12       0    64.48  260.18  195.14       0
    33554432       2097152     float    none      -1   109.19  307.29  230.47       0   107.99  310.73  233.04       0
    67108864       4194304     float    none      -1   194.91  344.30  258.23       0   194.36  345.28  258.96       0
   134217728       8388608     float    none      -1   349.92  383.56  287.67       0   351.08  382.30  286.73       0
   268435456      16777216     float    none      -1   658.88  407.41  305.56       0   652.01  411.70  308.78       0
   536870912      33554432     float    none      -1  1270.13  422.69  317.02       0  1253.64  428.25  321.19       0
  1073741824      67108864     float    none      -1  2459.19  436.62  327.47       0  2407.36  446.02  334.52       0
  2147483648     134217728     float    none      -1  4831.51  444.47  333.36       0  4704.62  456.46  342.35       0
  4294967296     268435456     float    none      -1  9435.48  455.19  341.39       0  9227.60  465.45  349.09       0
  8589934592     536870912     float    none      -1  18753.6  458.04  343.53       0  18125.4  473.92  355.44       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 106.407 
#
# Collective test concluded: all_gather_perf
#

