# nccl-tests version 2.18.3 nccl-headers=22902 nccl-library=22902
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 4 minBytes 8 maxBytes 8589934592 step: 2(factor) warmup iters: 5 iters: 50 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid    144 on e49901c75833 device  0 [0000:41:00] NVIDIA H100 80GB HBM3
#  Rank  1 Group  0 Pid    144 on e49901c75833 device  1 [0000:44:00] NVIDIA H100 80GB HBM3
#  Rank  2 Group  0 Pid    144 on e49901c75833 device  2 [0000:86:00] NVIDIA H100 80GB HBM3
#  Rank  3 Group  0 Pid    144 on e49901c75833 device  3 [0000:87:00] NVIDIA H100 80GB HBM3
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           8             2     float     sum      -1    23.30    0.00    0.00       0    23.35    0.00    0.00       0
          16             4     float     sum      -1    23.44    0.00    0.00       0    23.11    0.00    0.00       0
          32             8     float     sum      -1    23.23    0.00    0.00       0    23.19    0.00    0.00       0
          64            16     float     sum      -1    23.34    0.00    0.00       0    23.24    0.00    0.00       0
         128            32     float     sum      -1    23.17    0.01    0.01       0    23.27    0.01    0.01       0
         256            64     float     sum      -1    23.30    0.01    0.02       0    23.29    0.01    0.02       0
         512           128     float     sum      -1    23.27    0.02    0.03       0    23.31    0.02    0.03       0
        1024           256     float     sum      -1    23.28    0.04    0.07       0    23.22    0.04    0.07       0
        2048           512     float     sum      -1    23.23    0.09    0.13       0    22.51    0.09    0.14       0
        4096          1024     float     sum      -1    23.17    0.18    0.27       0    22.99    0.18    0.27       0
        8192          2048     float     sum      -1    23.75    0.34    0.52       0    23.77    0.34    0.52       0
       16384          4096     float     sum      -1    24.34    0.67    1.01       0    24.28    0.67    1.01       0
       32768          8192     float     sum      -1    25.05    1.31    1.96       0    24.94    1.31    1.97       0
       65536         16384     float     sum      -1    25.49    2.57    3.86       0    25.52    2.57    3.85       0
      131072         32768     float     sum      -1    26.32    4.98    7.47       0    26.25    4.99    7.49       0
      262144         65536     float     sum      -1    27.19    9.64   14.46       0    27.14    9.66   14.49       0
      524288        131072     float     sum      -1    27.88   18.80   28.20       0    27.76   18.89   28.33       0
     1048576        262144     float     sum      -1    26.76   39.19   58.79       0    27.22   38.52   57.78       0
     2097152        524288     float     sum      -1    30.32   69.18  103.76       0    30.25   69.32  103.98       0
     4194304       1048576     float     sum      -1    43.43   96.58  144.88       0    42.83   97.94  146.90       0
     8388608       2097152     float     sum      -1    63.07  133.00  199.50       0    62.16  134.95  202.42       0
    16777216       4194304     float     sum      -1   101.86  164.72  247.07       0    99.59  168.46  252.69       0
    33554432       8388608     float     sum      -1   175.81  190.86  286.29       0   174.43  192.36  288.54       0
    67108864      16777216     float     sum      -1   329.39  203.74  305.61       0   327.18  205.11  307.67       0
   134217728      33554432     float     sum      -1   617.74  217.27  325.91       0   617.89  217.22  325.83       0
   268435456      67108864     float     sum      -1  1186.22  226.30  339.44       0  1183.48  226.82  340.23       0
   536870912     134217728     float     sum      -1  2315.40  231.87  347.80       0  2315.48  231.86  347.79       0
  1073741824     268435456     float     sum      -1  4532.51  236.90  355.35       0  4533.35  236.85  355.28       0
  2147483648     536870912     float     sum      -1  8926.72  240.57  360.85       0  8916.31  240.85  361.27       0
  4294967296    1073741824     float     sum      -1  17744.6  242.04  363.07       0  17727.3  242.28  363.42       0
  8589934592    2147483648     float     sum      -1  35187.6  244.12  366.18       0  35210.4  243.96  365.94       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 124.846 
#
# Collective test concluded: all_reduce_perf
#

