# nccl-tests version 2.18.3 nccl-headers=22902 nccl-library=22902
# Collective test starting: reduce_scatter_perf
# nThread 1 nGpus 4 minBytes 8 maxBytes 8589934592 step: 2(factor) warmup iters: 5 iters: 50 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid    198 on e49901c75833 device  0 [0000:41:00] NVIDIA H100 80GB HBM3
#  Rank  1 Group  0 Pid    198 on e49901c75833 device  1 [0000:44:00] NVIDIA H100 80GB HBM3
#  Rank  2 Group  0 Pid    198 on e49901c75833 device  2 [0000:86:00] NVIDIA H100 80GB HBM3
#  Rank  3 Group  0 Pid    198 on e49901c75833 device  3 [0000:87:00] NVIDIA H100 80GB HBM3
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           0             0     float     sum      -1     0.53    0.00    0.00       0     0.58    0.00    0.00       0
           0             0     float     sum      -1     0.59    0.00    0.00       0     0.56    0.00    0.00       0
           0             0     float     sum      -1     0.56    0.00    0.00       0     0.57    0.00    0.00       0
          64             4     float     sum      -1    21.57    0.00    0.00       0    21.51    0.00    0.00       0
         128             8     float     sum      -1    21.44    0.01    0.00       0    21.32    0.01    0.00       0
         256            16     float     sum      -1    21.37    0.01    0.01       0    21.30    0.01    0.01       0
         512            32     float     sum      -1    21.36    0.02    0.02       0    21.50    0.02    0.02       0
        1024            64     float     sum      -1    21.36    0.05    0.04       0    21.55    0.05    0.04       0
        2048           128     float     sum      -1    21.32    0.10    0.07       0    21.37    0.10    0.07       0
        4096           256     float     sum      -1    21.46    0.19    0.14       0    21.35    0.19    0.14       0
        8192           512     float     sum      -1    21.69    0.38    0.28       0    21.79    0.38    0.28       0
       16384          1024     float     sum      -1    23.26    0.70    0.53       0    21.31    0.77    0.58       0
       32768          2048     float     sum      -1    21.94    1.49    1.12       0    21.89    1.50    1.12       0
       65536          4096     float     sum      -1    22.98    2.85    2.14       0    22.91    2.86    2.15       0
      131072          8192     float     sum      -1    23.96    5.47    4.10       0    24.06    5.45    4.09       0
      262144         16384     float     sum      -1    24.97   10.50    7.88       0    24.92   10.52    7.89       0
      524288         32768     float     sum      -1    25.95   20.20   15.15       0    25.86   20.28   15.21       0
     1048576         65536     float     sum      -1    25.83   40.60   30.45       0    25.93   40.45   30.33       0
     2097152        131072     float     sum      -1    25.69   81.64   61.23       0    25.81   81.26   60.94       0
     4194304        262144     float     sum      -1    35.72  117.42   88.06       0    35.52  118.09   88.57       0
     8388608        524288     float     sum      -1    42.74  196.27  147.21       0    42.52  197.27  147.95       0
    16777216       1048576     float     sum      -1    62.56  268.16  201.12       0    61.98  270.71  203.03       0
    33554432       2097152     float     sum      -1   105.94  316.73  237.55       0   104.63  320.69  240.52       0
    67108864       4194304     float     sum      -1   189.89  353.41  265.06       0   186.41  360.01  270.01       0
   134217728       8388608     float     sum      -1   346.83  386.99  290.24       0   344.89  389.16  291.87       0
   268435456      16777216     float     sum      -1   662.60  405.12  303.84       0   662.02  405.48  304.11       0
   536870912      33554432     float     sum      -1  1274.53  421.23  315.92       0  1263.35  424.96  318.72       0
  1073741824      67108864     float     sum      -1  2446.11  438.96  329.22       0  2430.23  441.83  331.37       0
  2147483648     134217728     float     sum      -1  4782.16  449.06  336.80       0  4732.28  453.79  340.35       0
  4294967296     268435456     float     sum      -1  9411.22  456.37  342.27       0  9366.13  458.56  343.92       0
  8589934592     536870912     float     sum      -1  18360.3  467.85  350.89       0  18359.1  467.88  350.91       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 107.831 
#
# Collective test concluded: reduce_scatter_perf
#

