size_bytes,time_us,algbw_GBs,busbw_GBs
0,0.53,0.00,0.00
0,0.59,0.00,0.00
0,0.60,0.00,0.00
64,21.70,0.00,0.00
128,21.38,0.01,0.00
256,21.53,0.01,0.01
512,21.50,0.02,0.02
1024,21.62,0.05,0.04
2048,21.43,0.10,0.07
4096,21.52,0.19,0.14
8192,21.91,0.37,0.28
16384,22.37,0.73,0.55
32768,22.15,1.48,1.11
65536,23.07,2.84,2.13
131072,24.08,5.44,4.08
262144,25.04,10.47,7.85
524288,26.12,20.08,15.06
1048576,25.98,40.37,30.28
2097152,25.87,81.06,60.80
4194304,35.95,116.66,87.50
8388608,42.89,195.58,146.69
16777216,62.52,268.35,201.26
33554432,105.75,317.30,237.97
67108864,189.19,354.72,266.04
134217728,347.43,386.32,289.74
268435456,663.09,404.83,303.62
536870912,1271.80,422.13,316.60
1073741824,2439.07,440.23,330.17
2147483648,4741.30,452.93,339.70
4294967296,9440.67,454.94,341.21
8589934592,18389.0,467.12,350.34
