# nccl-tests version 2.18.3 nccl-headers=22902 nccl-library=22902
# Collective test starting: reduce_scatter_perf
# nThread 1 nGpus 4 minBytes 8 maxBytes 8589934592 step: 2(factor) warmup iters: 5 iters: 50 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid   1329 on 8899f5769284 device  0 [0000:41:00] NVIDIA H100 80GB HBM3
#  Rank  1 Group  0 Pid   1329 on 8899f5769284 device  1 [0000:44:00] NVIDIA H100 80GB HBM3
#  Rank  2 Group  0 Pid   1329 on 8899f5769284 device  2 [0000:86:00] NVIDIA H100 80GB HBM3
#  Rank  3 Group  0 Pid   1329 on 8899f5769284 device  3 [0000:87:00] NVIDIA H100 80GB HBM3
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           0             0     float     sum      -1     0.53    0.00    0.00       0     0.55    0.00    0.00       0
           0             0     float     sum      -1     0.59    0.00    0.00       0     0.56    0.00    0.00       0
           0             0     float     sum      -1     0.60    0.00    0.00       0     0.55    0.00    0.00       0
          64             4     float     sum      -1    21.70    0.00    0.00       0    21.49    0.00    0.00       0
         128             8     float     sum      -1    21.38    0.01    0.00       0    21.58    0.01    0.00       0
         256            16     float     sum      -1    21.53    0.01    0.01       0    21.55    0.01    0.01       0
         512            32     float     sum      -1    21.50    0.02    0.02       0    21.64    0.02    0.02       0
        1024            64     float     sum      -1    21.62    0.05    0.04       0    21.57    0.05    0.04       0
        2048           128     float     sum      -1    21.43    0.10    0.07       0    21.48    0.10    0.07       0
        4096           256     float     sum      -1    21.52    0.19    0.14       0    21.64    0.19    0.14       0
        8192           512     float     sum      -1    21.91    0.37    0.28       0    21.74    0.38    0.28       0
       16384          1024     float     sum      -1    22.37    0.73    0.55       0    21.44    0.76    0.57       0
       32768          2048     float     sum      -1    22.15    1.48    1.11       0    22.02    1.49    1.12       0
       65536          4096     float     sum      -1    23.07    2.84    2.13       0    23.19    2.83    2.12       0
      131072          8192     float     sum      -1    24.08    5.44    4.08       0    23.88    5.49    4.12       0
      262144         16384     float     sum      -1    25.04   10.47    7.85       0    25.04   10.47    7.85       0
      524288         32768     float     sum      -1    26.12   20.08   15.06       0    25.95   20.20   15.15       0
     1048576         65536     float     sum      -1    25.98   40.37   30.28       0    25.81   40.63   30.47       0
     2097152        131072     float     sum      -1    25.87   81.06   60.80       0    25.88   81.03   60.77       0
     4194304        262144     float     sum      -1    35.95  116.66   87.50       0    35.67  117.58   88.19       0
     8388608        524288     float     sum      -1    42.89  195.58  146.69       0    42.63  196.78  147.59       0
    16777216       1048576     float     sum      -1    62.52  268.35  201.26       0    61.94  270.88  203.16       0
    33554432       2097152     float     sum      -1   105.75  317.30  237.97       0   104.23  321.91  241.44       0
    67108864       4194304     float     sum      -1   189.19  354.72  266.04       0   186.73  359.38  269.54       0
   134217728       8388608     float     sum      -1   347.43  386.32  289.74       0   345.57  388.40  291.30       0
   268435456      16777216     float     sum      -1   663.09  404.83  303.62       0   660.37  406.49  304.87       0
   536870912      33554432     float     sum      -1  1271.80  422.13  316.60       0  1266.62  423.86  317.89       0
  1073741824      67108864     float     sum      -1  2439.07  440.23  330.17       0  2440.27  440.01  330.01       0
  2147483648     134217728     float     sum      -1  4741.30  452.93  339.70       0  4763.46  450.82  338.12       0
  4294967296     268435456     float     sum      -1  9440.67  454.94  341.21       0  9241.17  464.76  348.57       0
  8589934592     536870912     float     sum      -1  18389.0  467.12  350.34       0  18273.4  470.08  352.56       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 107.891 
#
# Collective test concluded: reduce_scatter_perf
#

